Facility Name,Address,County,City,Zip,Number of Beds,Location
Atria Tanglewood,125 Ocean Avenue,Nassau,Lynbrook,11563,160,"125 Ocean Avenue
Lynbrook, NY 11563
(40.663219998000045, -73.65862903799996)"
Maplewood Commons,1015 Saw Mill River Road,Westchester,Ardsley,10502,80,"1015 Saw Mill River Road
Ardsley, NY 10502
(41.022001999000054, -73.84395802999995)"
"Fairlawn Adult Home, Inc.",301 Eighth Avenue,Suffolk,East Northport,11731,30,"301 Eighth Avenue
East Northport, NY 11731
(40.87701799900003, -73.32899602799995)"
Oyster Bay Manor,150 South Street,Nassau,Oyster Bay,11771,72,"150 South Street
Oyster Bay, NY 11771
(40.87091400300005, -73.53148897799997)"
Castle Gardens Keepsake Village,1715 Castle Gardens Road,Broome,Vestal,13850,48,"1715 Castle Gardens Road
Vestal, NY 13850
(42.07857999600003, -76.08120801699994)"
Greenfield Court,5951 Broadway,Erie,Lancaster,14086,57,"5951 Broadway
Lancaster, NY 14086
(42.89493064200008, -78.63177718599997)"
Jeffersonville Senior Living,4806 Route 52,Sullivan,Jeffersonville,12748,49,"4806 Route 52
Jeffersonville, NY 12748
(41.78045502000003, -74.92928297999998)"
Rockaway Manor HFA,145 Beach 8th Street,Queens,Far Rockaway,11691,120,"145 Beach 8th Street
Far Rockaway, NY 11691
(40.59542496300003, -73.74290830699994)"
Judson Meadows,39 Swaggertown Road,Schenectady,Glenville,12302,80,"39 Swaggertown Road
Glenville, NY 12302
(42.84558800600007, -73.95063702699997)"
Legacy at Cranberry Landing,300 Cranberry Landing Drive,Monroe,Rochester,14609,78,"300 Cranberry Landing Drive
Rochester, NY 14609
(43.189178981000055, -77.54899401099993)"
Willow Towers EHP,355 Pelham Road,Westchester,New Rochelle,10805,150,"355 Pelham Road
New Rochelle, NY 10805
(40.89824884500007, -73.77813565599996)"
Tennyson Court,49 Tennyson Court,Erie,Williamsville,14221,93,"49 Tennyson Court
Williamsville, NY 14221
(42.97111698100008, -78.69870203499994)"
Amber Court of Westbury,3400 Brush Hollow Road,Nassau,Westbury,11590,64,"3400 Brush Hollow Road
Westbury, NY 11590
(40.775064007000026, -73.56013203699996)"
Focus Senior Living at Utica,1445 Kemble Street,Oneida,Utica,13501,110,"1445 Kemble Street
Utica, NY 13501
(43.09318394200005, -75.24234862899993)"
Clark Meadows at Ferris Hills,One Clark Meadows,Ontario,Canandaigua,14424,54,"One Clark Meadows
Canandaigua, NY 14424
(42.882934025000054, -77.27807145499997)"
Loudonville Assisted Living Residence,298 Albany Shaker Road,Albany,Loudonville,12211,105,"298 Albany Shaker Road
Loudonville, NY 12211
(42.68220598000005, -73.75997001899998)"
Dominican Village Enriched Housing Program 1,565-567 Albany Avenue,Suffolk,Amityville,11701,66,"565-567 Albany Avenue
Amityville, NY 11701
(40.70548700200004, -73.40332900799996)"
Elderwood Village at Ticonderoga,101 Adirondack Drive Suite 201,Essex,Ticonderoga,12883,23,"101 Adirondack Drive Suite 201
Ticonderoga, NY 12883
(43.84824387500004, -73.43959621799996)"
Amber Court of Westbury,3400 Brush Hollow Road,Nassau,Westbury,11590,225,"3400 Brush Hollow Road
Westbury, NY 11590
(40.775064007000026, -73.56013203699996)"
Promenade at Chestnut Ridge,168 Red Schoolhouse Road,Rockland,Chestnut Ridge,10977,198,"168 Red Schoolhouse Road
Chestnut Ridge, NY 10977
(41.073481008000044, -74.05345003799994)"
Sunrise of West Babylon,580 Montauk Highway,Suffolk,West Babylon,11704,110,"580 Montauk Highway
West Babylon, NY 11704
(40.68683299300005, -73.34134801899995)"
Brightview Tarrytown,581 Old White Plains Rd,Westchester,Tarrytown,10591,107,"581 Old White Plains Rd
Tarrytown, NY 10591
(41.062530010000046, -73.83570998599998)"
Lockport Presbyterian Home,327 High Street,Niagara,Lockport,14094,60,"327 High Street
Lockport, NY 14094
(43.16385398300008, -78.68491598299994)"
Rainier Grove at Cherry Ridge,900 Cherry Ridge Road,Monroe,Webster,14580,87,"900 Cherry Ridge Road
Webster, NY 14580
(43.20947701700004, -77.46997001499994)"
Terrace at Beverwyck,41 Beverwyck Lane,Albany,Slingerlands,12159,48,"41 Beverwyck Lane
Slingerlands, NY 12159
(42.65945699200006, -73.83709501199996)"
Rudolf Steiner Fellowship Foundation,241 Hungry Hollow Road,Rockland,Spring Valley,10977,33,"241 Hungry Hollow Road
Spring Valley, NY 10977
(41.085513020000064, -74.06441599799996)"
Garnerville Home,216 Ramapo Road Route 202,Rockland,Garnerville,10923,39,"216 Ramapo Road Route 202
Garnerville, NY 10923
(41.20040900600003, -73.98547799999994)"
Frewsburg Rest Home,106 West Main Street,Chautauqua,Frewsburg,14738,81,"106 West Main Street
Frewsburg, NY 14738
(42.05298099300006, -79.16543004099998)"
Chelsea at Greenburgh,715 Dobbs Ferry Road,Westchester,Greenburgh,10607,137,"715 Dobbs Ferry Road
Greenburgh, NY 10607
(41.033689012000025, -73.82285298499994)"
Sunrise at Mill Basin,5905 Strickland Avenue,Kings,Brooklyn,11234,142,"5905 Strickland Avenue
Brooklyn, NY 11234
(40.60779998600003, -73.91619603799995)"
Holbrook Adult Home,73 North Street,Washington,Granville,12832,33,"73 North Street
Granville, NY 12832
(43.41341002100006, -73.26648999599996)"
The Lake Shore Assisted Living Residence,211 Lake Shore Road,Suffolk,Lake Ronkonkoma,11779,200,"211 Lake Shore Road
Lake Ronkonkoma, NY 11779
(40.82736201200004, -73.11578203599998)"
Elm York Home for Adults,100-30 Ditmars Boulevard,Queens,East Elmhurst,11369,262,"100-30 Ditmars Boulevard
East Elmhurst, NY 11369
(40.76958999500005, -73.87002398899995)"
Atria Briarcliff Manor,1025 Pleasantville Road,Westchester,Briarcliff Manor,10510,200,"1025 Pleasantville Road
Briarcliff Manor, NY 10510
(41.14699599900007, -73.82658200999998)"
The Waterford on the Bay,2900 Bragg Street,Kings,Brooklyn,11235,200,"2900 Bragg Street
Brooklyn, NY 11235
(40.58350001000008, -73.93301499699999)"
The Hawthorne,1 Johnsarbor Dr. E,Monroe,Rochester,14620,42,"1 Johnsarbor Dr. E
Rochester, NY 14620
(43.12280801300005, -77.59894001199996)"
"Kingsway Manor, LLC",357 Kings Road,Schenectady,Schenectady,12304,140,"357 Kings Road
Schenectady, NY 12304
(42.77533500100003, -73.91328801999998)"
Shire Senior Living Assisted Living Program,2515 Culver Road,Monroe,Rochester,14609,200,"2515 Culver Road
Rochester, NY 14609
(43.19297300800008, -77.56137500399996)"
Evergreen Heights,8939 Oakland Street,Cayuga,Weedsport,13166,60,"8939 Oakland Street
Weedsport, NY 13166
(43.05056200000007, -76.57277897799997)"
Updyke's Willow Ridge Quality Care Facility,131 Hornell Street,Steuben,Hornell,14843,40,"131 Hornell Street
Hornell, NY 14843
(42.33264298300003, -77.66556499399996)"
St. Vincent de Paul Assisted Living Program,900 Interval Avenue,Bronx,Bronx,10459,59,"900 Interval Avenue
Bronx, NY 10459
(40.819330011000034, -73.89583899399997)"
The Hearth at Greenpoint Senior Living,150 Old Liverpool Road,Onondaga,Liverpool,13088,139,"150 Old Liverpool Road
Liverpool, NY 13088
(43.08319501300008, -76.18038403599996)"
E.R.I.E.  EHP #1 Toomey Abbott Tower,1207 Almond Street,Onondaga,Syracuse,13210,95,"1207 Almond Street
Syracuse, NY 13210
(43.039017982000075, -76.14087501399996)"
"Carlucci Homes, Inc.",516 Mullock Road,Orange,Port Jervis,12771,23,"516 Mullock Road
Port Jervis, NY 12771
(41.40176298200004, -74.56650398399995)"
Gables Home for Adults,127 Rider Avenue,Suffolk,Patchogue,11772,24,"127 Rider Avenue
Patchogue, NY 11772
(40.76069700600004, -73.00834699199999)"
"Good Shepherd- Fairview Home, Inc.",80 Fairview Avenue,Broome,Binghamton,13904,67,"80 Fairview Avenue
Binghamton, NY 13904
(42.11064299700007, -75.87594099199998)"
Morningside at Home Assisted Living Program,1000 Pelham Parkway South,Bronx,Bronx,10461,40,"1000 Pelham Parkway South
Bronx, NY 10461
(40.85672997900008, -73.85966596799994)"
305 West End Assisted Living,305 West End Avenue,New York,New York,10023,145,"305 West End Avenue
New York, NY 10023
(40.78152000000006, -73.98344203499994)"
Green Hills Estate,1 South Route 9W,Rockland,Haverstraw,10927,164,"1 South Route 9W
Haverstraw, NY 10927
(41.19273399100007, -73.96779503399995)"
Orchard Grove Residences,2000 Southwestern Drive W. E.,Chautauqua,Jamestown,14701,36,"2000 Southwestern Drive W. E.
Jamestown, NY 14701
(42.086997318000044, -79.29496258399996)"
Manor Hills,4192-B Bolivar Road,Allegany,Wellsville,14895,137,"4192-B Bolivar Road
Wellsville, NY 14895
(42.12911700500007, -77.96607902199997)"
The Village at Mill Landing,45 Mill Road,Monroe,Rochester,14626,150,"45 Mill Road
Rochester, NY 14626
(43.230646017000026, -77.70028401099995)"
Sunrise of Staten Island,801 Narrows Road,Richmond,Staten Island,10304,121,"801 Narrows Road
Staten Island, NY 10304
(40.61135001500003, -74.09515000599998)"
Parkwood Heights Senior Living Community,1340 Parkwood Drive,Wayne,Macedon,14502,49,"1340 Parkwood Drive
Macedon, NY 14502
(43.061037904000045, -77.31444468999996)"
Glenwell,2248 Old Union Road,Erie,Cheektowaga,14227,120,"2248 Old Union Road
Cheektowaga, NY 14227
(42.87191383600003, -78.75531948499997)"
Alice Hyde Assisted Living Program,45 Sixth Street,Franklin,Malone,12953,30,"45 Sixth Street
Malone, NY 12953
(44.86215199600008, -74.28933095899998)"
Long Island Living Center,431 Beach 20th Street,Queens,Far Rockaway,11691,306,"431 Beach 20th Street
Far Rockaway, NY 11691
(40.59904001700005, -73.75442396599993)"
Queens Adult Care Center,80-08 45th Avenue,Queens,Elmhurst,11373,352,"80-08 45th Avenue
Elmhurst, NY 11373
(40.74127001700003, -73.88439300199997)"
Hilton East Assisted Living,231 East Avenue,Monroe,Hilton,14468,205,"231 East Avenue
Hilton, NY 14468
(43.28929398400004, -77.78535999299999)"
Marian Woods,152 Ridge Road,Westchester,Hartsdale,10530,50,"152 Ridge Road
Hartsdale, NY 10530
(41.020588014000054, -73.80788198399995)"
Missionary Sisters of St. Benedict,350 Cuba Hill Road,Suffolk,Huntington,11743,60,"350 Cuba Hill Road
Huntington, NY 11743
(40.84567198600007, -73.33698096399996)"
Sunrise at Sheepshead Bay,2211 Emmons Avenue,Kings,Brooklyn,11235,189,"2211 Emmons Avenue
Brooklyn, NY 11235
(40.58394001800008, -73.94588398499997)"
Family Srvs/Rochester EHP3 Hudson-Ridge Towers,401 Seneca Manor Drive,Monroe,Rochester,14621,47,"401 Seneca Manor Drive
Rochester, NY 14621
(43.192977995000035, -77.60331201299994)"
Claremont Village ALP,1160 Teller Avenue,Bronx,Bronx,10456,70,"1160 Teller Avenue
Bronx, NY 10456
(40.83159001100006, -73.91174801299996)"
Braemar Living at Medford,1529 North Ocean Avenue,Suffolk,Medford,11763,200,"1529 North Ocean Avenue
Medford, NY 11763
(40.81029201400003, -73.01804803899995)"
Southern Tier Meadows,4883 West Main Road,Chautauqua,Fredonia,14063,24,"4883 West Main Road
Fredonia, NY 14063
(42.41849399800003, -79.37857303699997)"
Elderwood Village at Williamsville,5271 Main Street,Erie,Williamsville,14221,110,"5271 Main Street
Williamsville, NY 14221
(42.96029498000007, -78.75654403999994)"
Loretto EHP #1 Bernardine Apartments,417 Churchill Avenue,Onondaga,Syracuse,13205,148,"417 Churchill Avenue
Syracuse, NY 13205
(43.00885499100008, -76.13928697799997)"
Country Valley Home,5946 County Route 11,Steuben,Bath,14810,19,"5946 County Route 11
Bath, NY 14810
(42.28900398700006, -77.29317296199997)"
Cloverhill Adult Home,355 South Main Street,Orleans,Albion,14411,44,"355 South Main Street
Albion, NY 14411
(43.234810984000035, -78.19357099899997)"
Mermaid Manor Home for Adults,3602 Mermaid Avenue,Kings,Brooklyn,11224,200,"3602 Mermaid Avenue
Brooklyn, NY 11224
(40.57459000500006, -74.00194801999999)"
Atria Cutter Mill,96 Cutter Mill Road,Nassau,Great Neck,11021,130,"96 Cutter Mill Road
Great Neck, NY 11021
(40.784154013000034, -73.73208501999994)"
Buckley Landing Enriched Housing Site #6,7430 Buckley Road,Onondaga,North Syracuse,13212,90,"7430 Buckley Road
North Syracuse, NY 13212
(43.131704984000066, -76.16304699199998)"
South Bay Adult Home,"33 Cottontail Run, Box 601",Suffolk,Center Moriches,11934,39,"33 Cottontail Run, Box 601
Center Moriches, NY 11934
(40.78899799900006, -72.81534403199998)"
Bethany Village,3005 Watkins Road,Chemung,Horseheads,14845,144,"3005 Watkins Road
Horseheads, NY 14845
(42.18501000800006, -76.83612001899996)"
"Glen Arden, Inc.",214 Harriman Drive,Orange,Goshen,10924,28,"214 Harriman Drive
Goshen, NY 10924
(41.38654999500005, -74.31586001699998)"
Dutchess Care,186 Washington Street,Dutchess,Poughkeepsie,12601,92,"186 Washington Street
Poughkeepsie, NY 12601
(41.71450201500005, -73.93027101399997)"
NY Found-Sr Citizens EHP#5 Clinton Gardens,404-412 W. 54 St.- Clinton Gardens,New York,New York,10019,47,"404-412 W. 54 St.- Clinton Gardens
New York, NY 10019
(40.76622998400006, -73.98794403999995)"
Metro Interfaith EHP,110 Chenango Place,Broome,Binghamton,13901,37,"110 Chenango Place
Binghamton, NY 13901
(42.101495742000054, -75.90889036399994)"
Rosewood on the Sound,59 Bayville Avenue,Nassau,Bayville,11709,50,"59 Bayville Avenue
Bayville, NY 11709
(40.91089999800005, -73.57390098899998)"
Elmore Home for Adults,330 Elmore Street,Suffolk,Central Islip,11722,22,"330 Elmore Street
Central Islip, NY 11722
(40.784234982000044, -73.19960400099995)"
Mountain Valley Manor,373-421 Wilbur Avenue,Ulster,Kingston,12401,53,"373-421 Wilbur Avenue
Kingston, NY 12401
(41.92254500100006, -74.00889603099995)"
Hamilton Manor Home for Adults,8196 Green Road,Madison,Hubbardsville,13355,38,"8196 Green Road
Hubbardsville, NY 13355
(42.814929980000045, -75.45712000499998)"
Seabury Woods,110 Dalaker Drive,Monroe,Rochester,14624,85,"110 Dalaker Drive
Rochester, NY 14624
(43.13969700300004, -77.74141099199994)"
The Bristal at Lake Grove,2995 Middle Country Road,Suffolk,Lake Grove,11755,155,"2995 Middle Country Road
Lake Grove, NY 11755
(40.860806542000034, -73.11679738999999)"
Promenade at Tuxedo Place,40 Hospital Road,Orange,Tuxedo,10987,89,"40 Hospital Road
Tuxedo, NY 10987
(41.19040011000004, -74.18627935599994)"
The New Golden Acres SP LLC,11 Prospect Street,Rockland,Spring Valley,10977,79,"11 Prospect Street
Spring Valley, NY 10977
(41.11988599000006, -74.03991804199995)"
Plattduetsche Home Society,1150 Hempstead Turnpike,Nassau,Franklin Square,11010,90,"1150 Hempstead Turnpike
Franklin Square, NY 11010
(40.708721998000044, -73.68272700999995)"
The 80th Street Residence,430 East 80th Street,New York,New York,10075,70,"430 East 80th Street
New York, NY 10075
(40.77224001800005, -73.95063602099998)"
Kendal at Ithaca,2230 North Triphammer Road,Tompkins,Ithaca,14850,36,"2230 North Triphammer Road
Ithaca, NY 14850
(42.47578501800007, -76.48508499199994)"
Bristol Home,1500 Main Street,Erie,Buffalo,14209,55,"1500 Main Street
Buffalo, NY 14209
(42.914294006000034, -78.86547801999995)"
The Regency at Glen Cove,94 School Street,Nassau,Glen Cove,11542,143,"94 School Street
Glen Cove, NY 11542
(40.86720501100007, -73.63042200599995)"
Champlain Valley Senior Community,10 Gilliland Lane,Essex,Willsboro,12996,81,"10 Gilliland Lane
Willsboro, NY 12996
(44.364294803000064, -73.39056214399994)"
White Plains Guest Home for Adults,32 Ridgeview Avenue,Westchester,White Plains,10606,15,"32 Ridgeview Avenue
White Plains, NY 10606
(41.02165498800008, -73.78060198999998)"
Atria Forest Hills,112-50 72nd Avenue,Queens,Forest Hills,11375,90,"112-50 72nd Avenue
Forest Hills, NY 11375
(40.72212000900004, -73.83687800399997)"
Eden Heights,4071 Hardt Road,Erie,Eden,14057,120,"4071 Hardt Road
Eden, NY 14057
(42.66522198100006, -78.83338102999994)"
Park Inn Home,115-02 Ocean Promenade,Queens,Rockaway Park,11694,181,"115-02 Ocean Promenade
Rockaway Park, NY 11694
(40.57815000900007, -73.83528896299998)"
Jeff Senior Living,4804 Route 52- East Main Street,Sullivan,Jeffersonville,12748,11,"4804 Route 52- East Main Street
Jeffersonville, NY 12748
(41.78011299700006, -74.92841000399994)"
The Belvedere,5110 19th Avenue,Kings,Brooklyn,11204,200,"5110 19th Avenue
Brooklyn, NY 11204
(40.62589001900005, -73.98021701399995)"
Home of the Good Shepherd Saratoga,394-402 Church Street,Saratoga,Saratoga Springs,12866,105,"394-402 Church Street
Saratoga Springs, NY 12866
(43.085849980000035, -73.82032299099995)"
Adirondack Manor HFA D.B.A. Willow Park HFA,1550 Herkimer Road,Oneida,Utica,13502,60,"1550 Herkimer Road
Utica, NY 13502
(43.10668999000006, -75.17027996299998)"
Chenango Valley Home,24 Canasawacta Street,Chenango,Norwich,13815,32,"24 Canasawacta Street
Norwich, NY 13815
(42.53170999800005, -75.53013995999999)"
The Bristal at North Hills,99 South Service Road,Nassau,North Hills,11040,140,"99 South Service Road
North Hills, NY 11040
(40.77034179300006, -73.68789924599997)"
McHarrie Pointe,7740 Meigs Road,Onondaga,Baldwinsville,13027,47,"7740 Meigs Road
Baldwinsville, NY 13027
(43.144412997000074, -76.34394899799997)"
Birchwood Suites,423 Clay Pitts Road,Suffolk,East Northport,11731,95,"423 Clay Pitts Road
East Northport, NY 11731
(40.86907199600006, -73.29986002899994)"
The Eliot at Catskill,122 Jefferson Heights,Greene,Catskill,12414,98,"122 Jefferson Heights
Catskill, NY 12414
(42.22960998900004, -73.87378997799993)"
Home of the Good Shepherd Moreau,186-200 Bluebird Road,Saratoga,Moreau,12803,72,"186-200 Bluebird Road
Moreau, NY 12803
(43.28803760900007, -73.61335396799996)"
Canterbury Woods,725 Renaissance Drive,Erie,Williamsville,14221,32,"725 Renaissance Drive
Williamsville, NY 14221
(42.99610576100008, -78.69871192799997)"
Home Sweet Home of Athens,71 Second Street,Greene,Athens,12015,24,"71 Second Street
Athens, NY 12015
(42.26239999400008, -73.81406003299998)"
The Bixby Home,8342 North Main Street P.O. Box 419,Seneca,Interlaken,14847,24,"8342 North Main Street P.O. Box 419
Interlaken, NY 14847
(42.62009000100005, -76.72544000499994)"
"Absolut at Orchard Brooke, LLC",6060 Armor Road,Erie,Orchard Park,14127,80,"6060 Armor Road
Orchard Park, NY 14127
(42.751297101000034, -78.76266387599998)"
The Bristal at Massapequa,400 County Line Road,Nassau,Massapequa,11758,84,"400 County Line Road
Massapequa, NY 11758
(40.68509001800004, -73.42656297299999)"
Sunrise of Dix Hills,337 Deer Park Avenue,Suffolk,Dix Hills,11746,114,"337 Deer Park Avenue
Dix Hills, NY 11746
(40.81618645000003, -73.34268698399995)"
Atria Shaker,345 Northern Boulevard,Albany,Albany,12204,146,"345 Northern Boulevard
Albany, NY 12204
(42.67334098600003, -73.75351100899996)"
Brookdale Niagara Assisted Living,6741 Nash Road,Niagara,North Tonawanda,14120,53,"6741 Nash Road
North Tonawanda, NY 14120
(43.09747999700005, -78.86530702899995)"
The Osborn,101 Theall Road,Westchester,Rye,10580,103,"101 Theall Road
Rye, NY 10580
(40.97140799300007, -73.69877801899997)"
Palisade Gardens,185 Palisade Avenue,Westchester,Yonkers,10703,106,"185 Palisade Avenue
Yonkers, NY 10703
(40.94047298700008, -73.89405800699996)"
The Clark Manor House,318 Fort Hill Avenue,Ontario,Canandaigua,14424,17,"318 Fort Hill Avenue
Canandaigua, NY 14424
(42.90010298300007, -77.27327298199998)"
Crystal House Manor,"97 Mills Street, P.O. Box 576",Dutchess,Dover Plains,12522,39,"97 Mills Street, P.O. Box 576
Dover Plains, NY 12522
(41.74224100200007, -73.57187701099997)"
Hillcrest Spring Residential,"5052 Rte30 Upper Market St, POB 383",Montgomery,Amsterdam,12010,80,"5052 Rte30 Upper Market St, POB 383
Amsterdam, NY 12010
(42.95703001900006, -74.18690996899994)"
Peregrine Senior Living at Onondaga Hill,4701 Peregrine Way,Onondaga,Syracuse,13207,68,"4701 Peregrine Way
Syracuse, NY 13207
(43.001690015000065, -76.19008499999995)"
Sedgwick Heights,1100 James Street,Onondaga,Syracuse,13203,154,"1100 James Street
Syracuse, NY 13203
(43.06066701300006, -76.13058899299995)"
Helen Keller National Center,111 Middle Neck Road,Nassau,Sands Point,11050,52,"111 Middle Neck Road
Sands Point, NY 11050
(40.854676235000056, -73.69618534099999)"
Amber Court  of Smithtown,130-132 Lake Avenue,Suffolk,Nesconset,11767,186,"130-132 Lake Avenue
Nesconset, NY 11767
(40.867877203000035, -73.15496645599995)"
Atria Guilderland,300 Mill Rose Court,Albany,Slingerlands,12159,120,"300 Mill Rose Court
Slingerlands, NY 12159
(42.68486300100005, -73.90427202599994)"
Atria Park of Lynbrook,100 Peninsula Boulevard,Nassau,Lynbrook,11563,140,"100 Peninsula Boulevard
Lynbrook, NY 11563
(40.65579099100006, -73.67941598999994)"
Bida Adult Home,4 Washington Park Rd,Chenango,Oxford,13830,28,"4 Washington Park Rd
Oxford, NY 13830
(42.44007015300008, -75.59131638699995)"
The Springs at Fountainview,2000 Fountainview Drive,Rockland,Monsey,10952,60,"2000 Fountainview Drive
Monsey, NY 10952
(41.112909020000075, -74.09044800999999)"
Orchard Heights,5200 Chestnut Ridge Road,Erie,Orchard Park,14127,200,"5200 Chestnut Ridge Road
Orchard Park, NY 14127
(42.74412599100003, -78.74976400199995)"
Willow Gardens,60 Willow Drive,Westchester,New Rochelle,10805,51,"60 Willow Drive
New Rochelle, NY 10805
(40.897419006000064, -73.77952499999998)"
Atria Bay Shore,53 Ocean Ave.,Suffolk,Bay Shore,11706,116,"53 Ocean Ave.
Bay Shore, NY 11706
(40.717453007000074, -73.24634199599996)"
Heritage Manor of Lockport,41 Lexington Court,Niagara,Lockport,14094,64,"41 Lexington Court
Lockport, NY 14094
(43.16237399000005, -78.66338798699996)"
The Fountains at RiverVue,1 Rivervue Place,Westchester,Tuckahoe,10707,141,"1 Rivervue Place
Tuckahoe, NY 10707
(40.95207709400006, -73.82966580799996)"
St. Francis Park,5229 South Park Avenue,Erie,Hamburg,14075,36,"5229 South Park Avenue
Hamburg, NY 14075
(42.75447801800004, -78.82568702999998)"
Crimson Ridge Meadows,3 Treeline Drive,Monroe,Rochester,14612,52,"3 Treeline Drive
Rochester, NY 14612
(43.250650979000056, -77.67513000299994)"
Promenade at Blue Hill,582 Veterans Memorial Drive,Rockland,Pearl River,10965,61,"582 Veterans Memorial Drive
Pearl River, NY 10965
(41.05176001800004, -74.00575600299999)"
The Bristal at North Woodmere,477 Hungry Harbor Road,Nassau,North Woodmere,11581,155,"477 Hungry Harbor Road
North Woodmere, NY 11581
(40.643770001000064, -73.72347001599996)"
"The Eliot at Troy, LLC",2902 Upper Tibbits Avenue,Rensselaer,Troy,12180,155,"2902 Upper Tibbits Avenue
Troy, NY 12180
(42.73094000000003, -73.66400703499994)"
Sunrise of Crestwood,65 Crisfield Street,Westchester,Yonkers,10710,116,"65 Crisfield Street
Yonkers, NY 10710
(40.976213003000055, -73.82832100299999)"
Brothers of Mercy Sacred Heart Home,"4520 Ransom Road, P.O. Box 117",Erie,Clarence,14031,70,"4520 Ransom Road, P.O. Box 117
Clarence, NY 14031
(42.96920200900007, -78.59267397699995)"
Clara Welch Thanksgiving Home,48 Grove Street,Otsego,Cooperstown,13326,26,"48 Grove Street
Cooperstown, NY 13326
(42.698000000000036, -74.93431002599993)"
Brookdale Bellevue,4330 Onondaga Boulevard,Onondaga,Syracuse,13219,91,"4330 Onondaga Boulevard
Syracuse, NY 13219
(43.02535900100003, -76.21517496899997)"
Alma Rangel Gardens NY Foundation EHP#7,55 West 137th Street,New York,New York,10037,42,"55 West 137th Street
New York, NY 10037
(40.814959980000026, -73.93857798299996)"
Madison York Home for Adults,61-80 Woodhaven Boulevard,Queens,Rego Park,11374,202,"61-80 Woodhaven Boulevard
Rego Park, NY 11374
(40.727069984000025, -73.87099402699994)"
The Hearth at Castle Gardens,1715 Castle Gardens Road,Broome,Vestal,13850,58,"1715 Castle Gardens Road
Vestal, NY 13850
(42.07857999600003, -76.08120801699994)"
Underwood Manor,"4460 Union Hill Road, R.D. #1",Cattaraugus,Hinsdale,14743,32,"4460 Union Hill Road, R.D. #1
Hinsdale, NY 14743
(42.18832500800005, -78.35335203399995)"
Norwegian Christian Home and Health Care Center,1250-1270 67th Street,Kings,Brooklyn,11219,88,"1250-1270 67th Street
Brooklyn, NY 11219
(40.624819985000045, -74.00369698799994)"
Woodlawn Commons,156 Lawrence Street,Saratoga,Saratoga Springs,12866,42,"156 Lawrence Street
Saratoga Springs, NY 12866
(43.09006820900004, -73.79129148199996)"
New Sunnyside Adult Home,7010 Collamer Road,Onondaga,East Syracuse,13057,20,"7010 Collamer Road
East Syracuse, NY 13057
(43.10885398800008, -76.03740796299996)"
